3/31/18,3/31/17,3/31/16,3/31/15
Cash And Cash Equivalents,744555000,662763000,570448000,534706000
Short Term Investments,243431000,283307000,338892000,380587000
Net Receivables,69742000,105675000,38362000,55343000
Inventory,141795000,39129000,40433000,76897000
Other Current Assets,77241000,49868000,33000000,50064000
Total Current Assets,1276764000,1140742000,1021135000,1097597000
Long Term Investments,221943000,179398000,145842000,120868000
Property Plant and Equipment,83926000,86558000,87752000,91488000
Goodwill,-,-,-,-
Intangible Assets,14020000,12825000,9977000,12430000
Accumulated Amortization,-,-,-,-
Other Assets,37095000,49455000,32196000,30561000
Deferred Long Term Asset Charges,37094000,49453000,32195000,30558000
Total Assets,1633748000,1468978000,1296902000,1352944000
Accounts Payable,138015000,104181000,31857000,58464000
Short/Current Long Term Debt,-,-,-,-
Other Current Liabilities,136844000,77587000,64286000,83548000
Total Current Liabilities,278076000,184109000,98437000,144232000
Long Term Debt,-,-,-,-
Other Liabilities,32097000,33897000,37564000,41158000
Deferred Long Term Liability Charges,-,-,-,-
Minority Interest,4540000,132000,124000,110000
Negative Goodwill,-,-,-,-
Total Liabilities,310173000,218006000,136001000,185390000
Misc. Stocks Options Warrants,-,-,-,-
Redeemable Preferred Stock,-,-,-,-
Preferred Stock,-,-,-,-
Common Stock,10065000,10065000,10065000,10065000
Retained Earnings,1564240000,1489518000,1401359000,1409764000
Treasury Stock,-269012000,-261999000,-263903000,-264119000
Capital Surplus,13742000,13256000,13256000,11734000
Other Stockholder Equity,-18333000,-11398000,-13340000,6867000
Total Stockholder Equity,1319035000,1250840000,1160777000,1167444000
Net Tangible Assets,1305015000,1238015000,1150800000,1155014000
