3/31/18,3/31/17,3/31/16,3/31/15
Depreciation,9064000,8366000,9139000,9011000
Adjustments To Net Income,-37537000,-102141000,-17929000,-22589000
Changes In Accounts Receivables,51585000,-65706000,15444000,-24198000
Changes In Liabilities,9014000,52740000,-21651000,3476000
Changes In Inventories,-107454000,-155000,34501000,88204000
Changes In Other Operating Activities,26446000,11267000,7971000,-65702000
Total Cash Flow From Operating Activities,152208000,19101000,55190000,60293000
Capital Expenditures,-9609000,-10458000,-4670000,-4582000
Investments,73262000,87425000,-68269000,-101338000
Other Cash flows from Investing Activities,-3250000,-7993000,-375000,335000
Total Cash Flows From Investing Activities,61387000,69518000,-71740000,-105394000
Dividends Paid,-64829000,-14384000,-24929000,-11835000
Sale Purchase of Stock,-,-,-,-
Net Borrowings,-,-,-,-
Other Cash Flows from Financing Activities,-13000,-13000,-12000,-54000
Total Cash Flows From Financing Activities,-61311000,-14435000,-2996000,-11916000
Effect Of Exchange Rate Changes,1222000,-1306000,-3898000,-2710000
Change In Cash and Cash Equivalents,153506000,72878000,-23443000,-59727000
